tiempo,posicion_real,posicion_observada,posicion_estimada,velocidad_real,velocidad_estimada,incertidumbre
7.1000000000000005,1.0695183271403992,4.145591460072337,6.355902362320758,-3.166860780261629,-0.3645945163158574,0.4971709627267523
7.2,0.7587955670514761,0.6871434888315731,5.973950744372708,-3.0419240684869764,-0.4611013237148902,0.4953432288373477
7.300000000000001,0.4611335134430039,3.5904208250710163,5.785465652577485,-2.905784880682045,-0.5007861087142849,0.49360374294625003
7.4,0.17763859091506706,-5.061851617264422,5.082115095589801,-2.7587335043322048,-0.6825362144784082,0.4919496425691073
7.5,-0.09061318742343705,1.5531918213270106,4.805814067138023,-2.6010875017112944,-0.7403252002906445,0.49037811179322816
7.6000000000000005,-0.3425789094271918,-0.16848477295084938,4.438978517052737,-2.433190916141177,-0.8215455285354653,0.48888637866497575
7.7,-0.5772513706516724,-1.1752660715834073,4.028178163265565,-2.255413412062741,-0.9126040536760038,0.48747171315140364
7.800000000000001,-0.79366159183974,-0.6101400387687355,3.6682733056455823,-2.068149351067241,-0.9869681888472034,0.4861314256279
7.9,-0.9908812408651206,-4.966019070066906,3.06791393192656,-1.8718168061977103,-1.1257310704193912,0.4848628658446953
8.0,-1.1680249530792821,-1.607368728754306,2.688501814256899,-1.6668565169841498,-1.1994982271235684,0.4836634223261224
8.1,-1.3242525442619506,-0.6100274012384578,2.3835302982383695,-1.4537307878241146,-1.2506261486706214,0.4825305221575351
8.200000000000001,-1.458771110644105,1.4970169788389271,2.214340605695683,-1.232922332462567,-1.2628167710434497,0.4814616311158442
8.3,-1.570837010754464,-2.607377447301759,1.8170896500229898,-1.0049330674588797,-1.337665341498818,0.4804542541007477
8.4,-1.659757724135881,-3.2767449299222564,1.3982110358104163,-0.7702828576568521,-1.4164195314195474,0.4795059358249467
8.5,-1.7248935822858344,-2.7284076694549073,1.0283578210441966,-0.5295082167933396,-1.4794624306714663,0.47861426172296967
8.6,-1.7656593674945489,0.06514486790959939,0.833886196818656,-0.2831609664932877,-1.4923174120321028,0.47777685903968864
8.700000000000001,-1.781525775584492,-1.124023556265123,0.5817764913564996,-0.03180685700305386,-1.5207504196617656,0.4769913980612113
8.8,-1.7720207388951597,-2.8315411464292373,0.24477318509346643,0.22397584689052064,-1.5718779291101417,0.4762555934525726
8.9,-1.7367306062063879,-0.7101957399796757,0.04247801586009651,0.48359781122094603,-1.5843539911642075,0.4755672056685268
9.0,-1.6753011766509704,-1.4811460779548897,-0.19293793212917235,0.7464601058701081,-1.605655643853843,0.4749240424057461
9.1,-1.5874385850323662,0.3498513960334122,-0.3139427345419047,1.0119557015816394,-1.5947029918927822,0.474323960066856
9.200000000000001,-1.4729100363346426,-2.8770162240893473,-0.6082871090893001,1.2794709872178611,-1.632064295509766,0.4737648652089599
9.3,-1.331544387588794,-1.9868686807843305,-0.8395425633588002,1.5483873034681839,-1.6509254259212582,0.4732447159516144
9.4,-1.1632325756410058,-1.947448881905321,-1.057315640729177,1.8180824891750724,-1.6655357111762752,0.4727615233215878
9.5,-0.9679278897537795,-3.8949577860180167,-1.3728357568298277,2.087932436413018,-1.7068754491475218,0.47231335251414375
9.600000000000001,-0.7456460883584022,-0.15340553422925007,-1.4661326555758256,2.357312650433254,-1.6853851137233333,0.4718983240530272
9.700000000000001,-0.4964653596671287,0.02564518469264998,-1.542388280366148,2.6255998105754053,-1.6597429478877286,0.4715146148337531
9.8,-0.22052612624332113,-0.21029921295839935,-1.6252229879559401,2.8921733282446116,-1.636626491220269,0.47116045903720466
9.9,0.08196930598179364,-0.3872049607685002,-1.71120281346127,3.0249543222511477,-1.6150133683370627,0.47083414890289826
